,winner,point_difference,result,name,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed
75,2,13,1,Middle Tennessee,15,0,0,75,1985,Middle Tennessee,3.04,6.79,12.9,0.94,8.3,25.0,480.0,995.0,0.482,71.6,0.423,0.338,0.668,1985,10.9,24.2,35.1,2
76,8,7,2,Michigan,1,0,1,76,1985,Michigan,4.63,5.37,15.0,1.37,8.3,24.0,526.0,982.0,0.536,75.4,0.46,0.345,0.717,1985,9.1,28.0,37.0,8
77,8,7,2,Villanova,8,1,0,77,1985,Villanova,2.74,5.85,14.9,1.39,9.9,27.0,436.0,859.0,0.508,73.9,0.441,0.364,0.778,1985,9.1,27.0,36.0,1
78,5,8,1,Maryland,5,1,1,78,1985,Maryland,4.41,4.67,13.3,1.13,7.9,25.0,431.0,874.0,0.493,71.7,0.418,0.319,0.747,1985,11.2,27.5,38.7,13
79,5,8,1,Navy,13,0,0,79,1985,Navy,1.63,5.41,11.3,0.93,6.5,21.0,430.0,894.0,0.481,63.8,0.411,0.303,0.698,1985,11.7,23.7,35.5,5
80,11,8,2,Auburn,11,1,0,80,1985,Auburn,4.89,6.56,12.8,0.99,8.0,26.0,493.0,926.0,0.532,78.7,0.432,0.301,0.673,1985,14.0,27.5,41.5,3
81,11,8,2,Kansas,3,0,1,81,1985,Kansas,4.93,7.71,14.4,1.13,6.7,19.0,591.0,1066.0,0.554,75.3,0.487,0.352,0.67,1985,10.4,28.1,38.5,11
82,2,5,1,Notre Dame,7,0,0,82,1985,Notre Dame,3.96,5.63,16.9,1.75,9.9,28.0,457.0,929.0,0.492,75.0,0.426,0.347,0.735,1985,10.3,27.5,37.8,2
83,2,5,1,UNC,2,1,1,83,1985,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.464,70.6,0.413,0.291,0.663,1985,13.9,28.7,42.6,7
84,8,3,2,Villanova,8,1,0,84,1985,Villanova,2.74,5.85,14.9,1.39,9.9,27.0,436.0,859.0,0.508,73.9,0.441,0.364,0.778,1985,9.1,27.0,36.0,5
85,8,3,2,Maryland,5,0,1,85,1985,Maryland,4.41,4.67,13.3,1.13,7.9,25.0,431.0,874.0,0.493,71.7,0.418,0.319,0.747,1985,11.2,27.5,38.7,8
86,2,9,1,Auburn,11,0,0,86,1985,Auburn,4.89,6.56,12.8,0.99,8.0,26.0,493.0,926.0,0.532,78.7,0.432,0.301,0.673,1985,14.0,27.5,41.5,2
87,2,9,1,UNC,2,1,1,87,1985,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.464,70.6,0.413,0.291,0.663,1985,13.9,28.7,42.6,11
88,8,6,2,Villanova,8,1,0,88,1985,Villanova,2.74,5.85,14.9,1.39,9.9,27.0,436.0,859.0,0.508,73.9,0.441,0.364,0.778,1985,9.1,27.0,36.0,2
89,8,6,2,UNC,2,0,1,89,1985,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.464,70.6,0.413,0.291,0.663,1985,13.9,28.7,42.6,8
90,1,15,1,St. John's (NY),1,1,1,90,1985,St. John's,4.22,10.15,14.6,1.24,6.4,21.0,559.0,1235.0,0.453,74.7,0.407,0.307,0.711,1985,13.0,26.5,39.4,16
91,1,15,1,Southern,16,0,0,91,1985,Southern,2.39,6.71,13.4,0.96,5.5,17.0,556.0,1146.0,0.485,68.5,0.435,0.317,0.67,1985,11.0,23.8,34.8,1
92,9,1,2,Iowa,8,0,1,92,1985,Iowa,3.7,6.48,17.3,1.43,7.9,23.0,527.0,1019.0,0.517,78.5,0.455,0.351,0.741,1985,11.4,26.0,37.5,9
93,9,1,2,Arkansas,9,1,0,93,1985,Arkansas,3.67,8.37,11.7,0.98,7.1,22.0,487.0,953.0,0.511,74.0,0.437,0.32,0.727,1985,7.6,24.2,31.8,8
94,12,7,2,Washington,5,0,1,94,1985,Washington,6.29,6.96,12.6,0.84,7.0,21.0,480.0,941.0,0.51,69.9,0.441,0.331,0.713,1985,8.7,26.5,35.2,12
95,12,7,2,Kentucky,12,1,0,95,1985,Kentucky,5.26,5.19,13.7,1.09,4.8,15.0,567.0,1115.0,0.509,74.9,0.461,0.327,0.791,1985,9.7,27.7,37.4,5
96,4,9,1,UNLV,4,1,1,96,1985,UNLV,2.79,6.24,12.4,0.92,7.4,24.0,517.0,1021.0,0.506,71.7,0.43,0.315,0.706,1985,12.5,26.4,38.9,13
97,4,9,1,San Diego State,13,0,0,97,1985,San Diego State,2.85,6.89,15.1,1.4,8.9,23.0,492.0,920.0,0.535,75.4,0.473,0.382,0.753,1985,9.5,26.3,35.8,4
98,11,5,2,Tulsa,6,0,1,98,1985,Tulsa,2.41,7.63,12.6,0.95,5.6,18.0,498.0,971.0,0.513,68.8,0.445,0.309,0.71,1985,9.0,26.0,34.9,11
99,11,5,2,UTEP,11,1,0,99,1985,UTEP,3.0,6.04,12.4,0.89,6.2,22.0,473.0,918.0,0.515,66.7,0.423,0.285,0.754,1985,8.1,26.4,34.4,6
100,3,11,1,NC State,3,1,1,100,1985,NC State,4.52,7.44,13.1,1.1,7.1,22.0,549.0,1068.0,0.514,74.3,0.446,0.324,0.707,1985,10.6,25.7,36.3,14
101,3,11,1,Nevada,14,0,0,101,1985,Nevada,3.68,5.07,15.0,1.28,10.1,26.0,482.0,967.0,0.498,77.5,0.448,0.383,0.748,1985,8.9,29.7,38.5,3
102,7,3,1,Alabama,7,1,1,102,1985,Alabama,4.63,6.33,14.7,0.97,11.0,31.0,465.0,882.0,0.527,83.3,0.443,0.355,0.696,1985,11.5,28.5,40.0,10
103,7,3,1,Arizona,10,0,0,103,1985,Arizona,3.85,6.67,15.6,1.37,7.3,20.0,537.0,1060.0,0.507,78.1,0.456,0.359,0.732,1985,10.7,26.8,37.5,7
104,2,13,1,VCU,2,1,1,104,1985,VCU,4.44,9.41,13.2,1.05,7.5,22.0,472.0,982.0,0.481,71.3,0.429,0.342,0.703,1985,10.2,23.9,34.1,15
105,2,13,1,Marshall,15,0,0,105,1985,Marshall,6.04,8.43,13.5,0.9,7.4,25.0,572.0,1085.0,0.527,74.5,0.439,0.301,0.648,1985,11.4,27.2,38.5,2
106,1,8,1,St. John's (NY),1,1,1,106,1985,St. John's,4.22,10.15,14.6,1.24,6.4,21.0,559.0,1235.0,0.453,74.7,0.407,0.307,0.711,1985,13.0,26.5,39.4,9
107,1,8,1,Arkansas,9,0,0,107,1985,Arkansas,3.67,8.37,11.7,0.98,7.1,22.0,487.0,953.0,0.511,74.0,0.437,0.32,0.727,1985,7.6,24.2,31.8,1
108,12,8,2,Kentucky,12,1,0,108,1985,Kentucky,5.26,5.19,13.7,1.09,4.8,15.0,567.0,1115.0,0.509,74.9,0.461,0.327,0.791,1985,9.7,27.7,37.4,4
109,12,8,2,UNLV,4,0,1,109,1985,UNLV,2.79,6.24,12.4,0.92,7.4,24.0,517.0,1021.0,0.506,71.7,0.43,0.315,0.706,1985,12.5,26.4,38.9,12
110,3,8,1,UTEP,11,0,0,110,1985,UTEP,3.0,6.04,12.4,0.89,6.2,22.0,473.0,918.0,0.515,66.7,0.423,0.285,0.754,1985,8.1,26.4,34.4,3
111,3,8,1,NC State,3,1,1,111,1985,NC State,4.52,7.44,13.1,1.1,7.1,22.0,549.0,1068.0,0.514,74.3,0.446,0.324,0.707,1985,10.6,25.7,36.3,11
