,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted,BLKPG_opponent,STPG_opponent,APG_opponent,AST_TO_opponent,_3pm_opponent,_3pa_opponent,_2pm_opponent,_2pa_opponent,_2p_perc_opponent,FG_perc_opponent,_3p_perc_opponent,FT_perc_opponent,ORPG_opponent,DRPG_opponent,RPG_opponent,BLKPG_subtracted,STPG_subtracted,APG_subtracted,AST_TO_subtracted,_3pm_subtracted,_3pa_subtracted,_2pm_subtracted,_2pa_subtracted,_2p_perc_subtracted,PTS_opponent,PTS_subtracted,FG_perc_subtracted,_3p_perc_subtracted,FT_perc_subtracted,ORPG_subtracted,DRPG_subtracted,RPG_subtracted,round,wins,losses,kenpom_adjem,wins_opponent,losses_opponent,kenpom_adjem_opponent,wins_subtracted,losses_subtracted,kenpom_adjem_subtracted
903,8,3,1,1,4.28,6.94,16.2,1.11,6.5,17.0,659.0,1264.0,0.521,77.1,0.479,0.38,0.728,12.1,26.8,38.9,11,18.02,7.9,0.532,7.16,1.76,0.47,10.86,6.1400000000000015,0.06200000000000005,3.52,6.33,14.1,1.02,5.5,17.0,608.0,1296.0,0.469,0.428,0.331,0.645,13.8,24.2,38.0,0.7600000000000002,0.6100000000000003,2.1,0.09000000000000008,1.0,0.0,51.0,-32.0,0.05200000000000005,67.5,9.599999999999994,0.05099999999999999,0.04899999999999999,0.08299999999999996,-1.7000000000000008,2.6000000000000014,0.8999999999999986,2,27.0,8.0,23.83,27.0,8.0,10.23,0.0,0.0,13.599999999999998
904,8,10,0,0,4.67,6.27,12.4,0.88,3.8,11.0,698.0,1358.0,0.514,68.4,0.474,0.32899999999999996,0.6659999999999999,11.7,24.1,35.8,2,14.09,9.15,0.508,17.71,9.37,0.498,-3.620000000000001,-0.21999999999999886,0.010000000000000007,2.84,6.41,15.9,1.13,5.2,15.0,647.0,1317.0,0.491,0.455,0.353,0.6859999999999999,14.0,24.9,38.9,1.83,-0.14000000000000054,-3.5,-0.2499999999999999,-1.4000000000000004,-4.0,51.0,41.0,0.02300000000000002,71.9,-3.5,0.018999999999999958,-0.02399999999999997,-0.02000000000000001,-2.3000000000000007,-0.7999999999999972,-3.1000000000000014,2,22.0,13.0,18.26,31.0,7.0,24.37,-9.0,6.0,-6.1099999999999985
905,8,2,1,1,2.84,6.41,15.9,1.13,5.2,15.0,647.0,1317.0,0.491,71.9,0.455,0.353,0.6859999999999999,14.0,24.9,38.9,10,17.71,9.37,0.498,14.09,9.15,0.508,3.620000000000001,0.21999999999999886,-0.010000000000000007,4.67,6.27,12.4,0.88,3.8,11.0,698.0,1358.0,0.514,0.474,0.32899999999999996,0.6659999999999999,11.7,24.1,35.8,-1.83,0.14000000000000054,3.5,0.2499999999999999,1.4000000000000004,4.0,-51.0,-41.0,-0.02300000000000002,68.4,3.5,-0.018999999999999958,0.02399999999999997,0.02000000000000001,2.3000000000000007,0.7999999999999972,3.1000000000000014,2,31.0,7.0,24.37,22.0,13.0,18.26,9.0,-6.0,6.1099999999999985
906,11,1,1,1,6.18,9.27,16.6,1.21,8.1,22.0,618.0,1223.0,0.505,73.9,0.451,0.36,0.643,12.6,25.4,38.0,12,20.87,8.41,0.527,11.88,8.8,0.53,8.99,-0.39000000000000057,-0.003000000000000003,3.06,5.97,14.4,1.15,6.2,16.0,623.0,1229.0,0.507,0.475,0.395,0.7340000000000001,11.1,22.8,33.9,3.12,3.3,2.200000000000001,0.06000000000000005,1.9,6.0,-5.0,-6.0,-0.0020000000000000018,72.2,1.7000000000000028,-0.02399999999999997,-0.03500000000000003,-0.09100000000000008,1.5,2.599999999999998,4.100000000000001,3,31.0,6.0,26.06,21.0,14.0,15.96,10.0,-8.0,10.099999999999998
907,11,12,0,0,3.06,5.97,14.4,1.15,6.2,16.0,623.0,1229.0,0.507,72.2,0.475,0.395,0.7340000000000001,11.1,22.8,33.9,1,11.88,8.8,0.53,20.87,8.41,0.527,-8.99,0.39000000000000057,0.003000000000000003,6.18,9.27,16.6,1.21,8.1,22.0,618.0,1223.0,0.505,0.451,0.36,0.643,12.6,25.4,38.0,-3.12,-3.3,-2.200000000000001,-0.06000000000000005,-1.9,-6.0,5.0,6.0,0.0020000000000000018,73.9,-1.7000000000000028,0.02399999999999997,0.03500000000000003,0.09100000000000008,-1.5,-2.599999999999998,-4.100000000000001,3,21.0,14.0,15.96,31.0,6.0,26.06,-10.0,8.0,-10.099999999999998
908,1,3,0,0,4.28,6.94,16.2,1.11,6.5,17.0,659.0,1264.0,0.521,77.1,0.479,0.38,0.728,12.1,26.8,38.9,2,18.02,7.9,0.532,17.71,9.37,0.498,0.3099999999999987,-1.4699999999999989,0.03400000000000003,2.84,6.41,15.9,1.13,5.2,15.0,647.0,1317.0,0.491,0.455,0.353,0.6859999999999999,14.0,24.9,38.9,1.4400000000000004,0.5300000000000002,0.2999999999999989,-0.0199999999999998,1.2999999999999998,2.0,12.0,-53.0,0.030000000000000027,71.9,5.199999999999988,0.02399999999999997,0.027000000000000024,0.04200000000000004,-1.9000000000000004,1.900000000000002,0.0,3,27.0,8.0,23.83,31.0,7.0,24.37,-4.0,1.0,-0.5400000000000027
909,1,2,1,1,2.84,6.41,15.9,1.13,5.2,15.0,647.0,1317.0,0.491,71.9,0.455,0.353,0.6859999999999999,14.0,24.9,38.9,3,17.71,9.37,0.498,18.02,7.9,0.532,-0.3099999999999987,1.4699999999999989,-0.03400000000000003,4.28,6.94,16.2,1.11,6.5,17.0,659.0,1264.0,0.521,0.479,0.38,0.728,12.1,26.8,38.9,-1.4400000000000004,-0.5300000000000002,-0.2999999999999989,0.0199999999999998,-1.2999999999999998,-2.0,-12.0,53.0,-0.030000000000000027,77.1,-5.199999999999988,-0.02399999999999997,-0.027000000000000024,-0.04200000000000004,1.9000000000000004,-1.900000000000002,0.0,3,31.0,7.0,24.37,27.0,8.0,23.83,4.0,-1.0,0.5400000000000027
910,1,1,0,1,6.18,9.27,16.6,1.21,8.1,22.0,618.0,1223.0,0.505,73.9,0.451,0.36,0.643,12.6,25.4,38.0,2,20.87,8.41,0.527,17.71,9.37,0.498,3.16,-0.9599999999999992,0.029000000000000026,2.84,6.41,15.9,1.13,5.2,15.0,647.0,1317.0,0.491,0.455,0.353,0.6859999999999999,14.0,24.9,38.9,3.34,2.8599999999999994,0.7000000000000011,0.08000000000000007,2.8999999999999995,7.0,-29.0,-94.0,0.014000000000000012,71.9,2.0,-0.0040000000000000036,0.007000000000000006,-0.042999999999999934,-1.4000000000000004,0.5,-0.8999999999999986,4,31.0,6.0,26.06,31.0,7.0,24.37,0.0,-1.0,1.6899999999999975
911,1,2,1,0,2.84,6.41,15.9,1.13,5.2,15.0,647.0,1317.0,0.491,71.9,0.455,0.353,0.6859999999999999,14.0,24.9,38.9,1,17.71,9.37,0.498,20.87,8.41,0.527,-3.16,0.9599999999999992,-0.029000000000000026,6.18,9.27,16.6,1.21,8.1,22.0,618.0,1223.0,0.505,0.451,0.36,0.643,12.6,25.4,38.0,-3.34,-2.8599999999999994,-0.7000000000000011,-0.08000000000000007,-2.8999999999999995,-7.0,29.0,94.0,-0.014000000000000012,73.9,-2.0,0.0040000000000000036,-0.007000000000000006,0.042999999999999934,1.4000000000000004,-0.5,0.8999999999999986,4,31.0,7.0,24.37,31.0,6.0,26.06,0.0,1.0,-1.6899999999999975
912,15,1,1,1,3.91,7.06,18.0,1.5,6.2,17.0,743.0,1385.0,0.536,78.0,0.484,0.354,0.674,14.9,24.8,39.8,16,21.21,8.61,0.53,3.21,-1.87,0.51,18.0,10.48,0.02000000000000001,3.88,8.52,12.6,0.89,5.8,17.0,730.0,1401.0,0.521,0.46799999999999997,0.336,0.715,11.4,26.4,37.8,0.03000000000000025,-1.46,5.4,0.61,0.4000000000000004,0.0,13.0,-16.0,0.015000000000000013,78.6,-0.5999999999999943,0.01599999999999996,0.01799999999999996,-0.040999999999999925,3.5,-1.599999999999998,2.0,1,31.0,5.0,28.96,23.0,11.0,5.67,8.0,-6.0,23.29
