,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
30,2,13,1,LIU,15,0,0,15,2011,Long Island University,3.44,7.34,15.1,0.99,6.9,19.0,676.0,1320.0,0.512,82.6,0.466,0.366,0.645,2011,14.5,27.4,41.8,2,Long Island University,Long Island University,2.23,-5.77,75.3,108.9,0.519,2011,20.82,7.85,63.3,116.3,0.529,-18.59,-13.62,12.0,-7.3999999999999915,-0.010000000000000009
31,1,15,1,Pitt,1,1,1,30,2011,Pittsburgh,3.44,4.81,17.4,1.49,5.9,15.0,647.0,1279.0,0.506,74.1,0.474,0.39,0.672,2011,14.2,25.6,39.8,16,Pittsburgh,Pittsburgh,20.82,7.85,63.3,116.3,0.529,2011,2.23,-5.77,75.3,108.9,0.519,18.59,13.62,-12.0,7.3999999999999915,0.010000000000000009
32,8,7,2,Pitt,1,0,1,46,2011,Pittsburgh,3.44,4.81,17.4,1.49,5.9,15.0,647.0,1279.0,0.506,74.1,0.474,0.39,0.672,2011,14.2,25.6,39.8,8,Pittsburgh,Pittsburgh,20.82,7.85,63.3,116.3,0.529,2011,-0.69,-2.89,70.1,102.9,0.495,21.51,10.74,-6.799999999999997,13.399999999999991,0.03400000000000003
33,1,15,1,UNC Asheville,16,0,0,31,2011,UNC Asheville,4.53,9.28,14.6,0.97,5.0,15.0,676.0,1357.0,0.498,74.2,0.455,0.33299999999999996,0.706,2011,12.0,23.9,36.0,1,North Carolina-Asheville,North Carolina-Asheville,-0.69,-2.89,70.1,102.9,0.495,2011,20.82,7.85,63.3,116.3,0.529,-21.51,-10.74,6.799999999999997,-13.399999999999991,-0.03400000000000003
34,8,1,1,Butler,8,1,1,32,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,9,Butler,Butler,11.53,5.02,64.5,109.0,0.501,2011,11.53,5.02,64.5,109.0,0.501,0.0,0.0,0.0,0.0,0.0
35,8,7,2,Butler,8,1,0,47,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,1,Butler,Butler,11.53,5.02,64.5,109.0,0.501,2011,11.53,5.02,64.5,109.0,0.501,0.0,0.0,0.0,0.0,0.0
36,8,4,2,Butler,8,1,0,54,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,4,Butler,Butler,11.53,5.02,64.5,109.0,0.501,2011,11.53,5.02,64.5,109.0,0.501,0.0,0.0,0.0,0.0,0.0
37,8,6,2,Butler,8,1,0,58,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,2,Butler,Butler,11.53,5.02,64.5,109.0,0.501,2011,11.53,5.02,64.5,109.0,0.501,0.0,0.0,0.0,0.0,0.0
38,8,3,1,Butler,8,1,1,123,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,11,Butler,Butler,11.53,5.02,64.5,109.0,0.501,2011,11.53,5.02,64.5,109.0,0.501,0.0,0.0,0.0,0.0,0.0
39,3,5,1,Butler,8,0,0,125,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,3,Butler,Butler,11.53,5.02,64.5,109.0,0.501,2011,11.53,5.02,64.5,109.0,0.501,0.0,0.0,0.0,0.0,0.0
