,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted,BLKPG_opponent,STPG_opponent,APG_opponent,AST_TO_opponent,_3pm_opponent,_3pa_opponent,_2pm_opponent,_2pa_opponent,_2p_perc_opponent,FG_perc_opponent,_3p_perc_opponent,FT_perc_opponent,ORPG_opponent,DRPG_opponent,RPG_opponent,other_team_seed_opponent,BLKPG_subtracted,STPG_subtracted,APG_subtracted,AST_TO_subtracted,_3pm_subtracted,_3pa_subtracted,_2pm_subtracted,_2pa_subtracted,_2p_perc_subtracted,PTS_opponent,PTS_subtracted,FG_perc_subtracted,_3p_perc_subtracted,FT_perc_subtracted,ORPG_subtracted,DRPG_subtracted,RPG_subtracted,round,name_ken,wins,losses,year_kenpom,kenpom_adjem,names_for_merging_ken
20,1154,1154,1154,2162,11,8,2,Southern Illinois,11,1,0,20,2002,Southern Illinois,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,75.9,0.463,0.3720000000000001,0.621,2002,13.3,25.7,39.0,3,Southern Illinois,1154,Southern Illinois,9.79,1.67,0.513,2002,14.68,9.24,0.496,-4.8900000000000015,-7.57,0.017000000000000015,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,0.447,0.315,0.7340000000000001,14.5,23.7,38.2,11,1.1900000000000004,-1.4799999999999995,-0.3000000000000007,0.0,0.39999999999999947,-2.0,51.0,117.0,-0.0060000000000000045,76.1,-0.19999999999998866,0.016000000000000014,0.0570000000000001,-0.1130000000000001,-1.1999999999999993,2.0,0.7999999999999972,2,Southern Illinois,28.0,8.0,2002,13.45,Southern Illinois
21,1155,1155,1155,2163,11,8,2,Georgia,3,0,1,21,2002,Georgia,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,76.1,0.447,0.315,0.7340000000000001,2002,14.5,23.7,38.2,11,Georgia,1155,Georgia,14.68,9.24,0.496,2002,9.79,1.67,0.513,4.8900000000000015,7.57,-0.017000000000000015,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,0.463,0.3720000000000001,0.621,13.3,25.7,39.0,3,-1.1900000000000004,1.4799999999999995,0.3000000000000007,0.0,-0.39999999999999947,2.0,-51.0,-117.0,0.0060000000000000045,75.9,0.19999999999998866,-0.016000000000000014,-0.0570000000000001,0.1130000000000001,1.1999999999999993,-2.0,-0.7999999999999972,2,Georgia,22.0,9.0,2002,18.44,Georgia
22,1156,1156,1156,2164,2,5,1,NC State,7,0,0,22,2002,NC State,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,75.7,0.454,0.359,0.75,2002,10.4,22.8,33.3,2,North Carolina State,1156,North Carolina State,15.85,8.17,0.525,2002,16.02,7.43,0.521,-0.16999999999999993,0.7400000000000002,0.0040000000000000036,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,0.481,0.385,0.691,14.0,27.4,41.3,7,-4.91,0.11000000000000032,1.7000000000000008,0.29999999999999993,3.9,12.0,-183.0,-399.0,0.017000000000000015,77.9,-2.200000000000003,-0.02699999999999997,-0.026000000000000027,0.05900000000000005,-3.6,-4.599999999999998,-8.0,2,N.C. State,23.0,11.0,2002,19.15,NC State
23,1157,1157,1157,2165,2,5,1,UConn,2,1,1,23,2002,UConn,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,77.9,0.481,0.385,0.691,2002,14.0,27.4,41.3,7,Connecticut,1157,Connecticut,16.02,7.43,0.521,2002,15.85,8.17,0.525,0.16999999999999993,-0.7400000000000002,-0.0040000000000000036,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,0.454,0.359,0.75,10.4,22.8,33.3,2,4.91,-0.11000000000000032,-1.7000000000000008,-0.29999999999999993,-3.9,-12.0,183.0,399.0,-0.017000000000000015,75.7,2.200000000000003,0.02699999999999997,0.026000000000000027,-0.05900000000000005,3.6,4.599999999999998,8.0,2,Connecticut,27.0,7.0,2002,19.36,UConn
24,1158,1158,1158,2166,1,3,1,Maryland,1,1,1,24,2002,Maryland,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,85.3,0.483,0.37,0.71,2002,13.5,28.1,41.6,4,Maryland,1158,Maryland,23.5,9.38,0.53,2002,19.15,11.99,0.502,4.350000000000001,-2.6099999999999994,0.028000000000000025,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,0.448,0.309,0.67,15.6,24.8,40.3,1,1.4399999999999995,0.6400000000000006,5.899999999999999,0.48,-0.7999999999999998,-6.0,106.0,203.0,0.0,76.6,8.700000000000003,0.034999999999999976,0.061,0.039999999999999925,-2.1,3.3000000000000007,1.3000000000000045,3,Maryland,32.0,4.0,2002,29.25,Maryland
25,1159,1159,1159,2167,1,3,1,Kentucky,4,0,0,25,2002,Kentucky,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,76.6,0.448,0.309,0.67,2002,15.6,24.8,40.3,1,Kentucky,1159,Kentucky,19.15,11.99,0.502,2002,23.5,9.38,0.53,-4.350000000000001,2.6099999999999994,-0.028000000000000025,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,0.483,0.37,0.71,13.5,28.1,41.6,4,-1.4399999999999995,-0.6400000000000006,-5.899999999999999,-0.48,0.7999999999999998,6.0,-106.0,-203.0,0.0,85.3,-8.700000000000003,-0.034999999999999976,-0.061,-0.039999999999999925,2.1,-3.3000000000000007,-1.3000000000000045,3,Kentucky,22.0,10.0,2002,22.21,Kentucky
26,1160,1160,1160,2168,2,9,1,Southern Illinois,11,0,0,26,2002,Southern Illinois,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,75.9,0.463,0.3720000000000001,0.621,2002,13.3,25.7,39.0,2,Southern Illinois,1160,Southern Illinois,9.79,1.67,0.513,2002,16.02,7.43,0.521,-6.23,-5.76,-0.008000000000000007,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,0.481,0.385,0.691,14.0,27.4,41.3,11,-2.31,-0.41000000000000014,0.5,0.17000000000000004,1.9,6.0,-46.0,-81.0,-0.0040000000000000036,77.9,-2.0,-0.01799999999999996,-0.0129999999999999,-0.06999999999999995,-0.6999999999999993,-1.6999999999999993,-2.299999999999997,3,Southern Illinois,28.0,8.0,2002,13.45,Southern Illinois
27,1161,1161,1161,2169,2,9,1,UConn,2,1,1,27,2002,UConn,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,77.9,0.481,0.385,0.691,2002,14.0,27.4,41.3,11,Connecticut,1161,Connecticut,16.02,7.43,0.521,2002,9.79,1.67,0.513,6.23,5.76,0.008000000000000007,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,0.463,0.3720000000000001,0.621,13.3,25.7,39.0,2,2.31,0.41000000000000014,-0.5,-0.17000000000000004,-1.9,-6.0,46.0,81.0,0.0040000000000000036,75.9,2.0,0.01799999999999996,0.0129999999999999,0.06999999999999995,0.6999999999999993,1.6999999999999993,2.299999999999997,3,Connecticut,27.0,7.0,2002,19.36,UConn
28,1162,1162,1162,2170,1,1,1,Maryland,1,1,1,28,2002,Maryland,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,85.3,0.483,0.37,0.71,2002,13.5,28.1,41.6,2,Maryland,1162,Maryland,23.5,9.38,0.53,2002,16.02,7.43,0.521,7.48,1.9500000000000008,0.009000000000000008,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,0.481,0.385,0.691,14.0,27.4,41.3,1,-0.8600000000000003,0.6000000000000005,5.799999999999999,0.57,1.5999999999999996,5.0,-4.0,-61.0,0.019000000000000017,77.9,7.3999999999999915,0.0020000000000000018,-0.015000000000000013,0.019000000000000017,-0.5,0.7000000000000028,0.30000000000000426,4,Maryland,32.0,4.0,2002,29.25,Maryland
29,1163,1163,1163,2171,1,1,1,UConn,2,0,0,29,2002,UConn,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,77.9,0.481,0.385,0.691,2002,14.0,27.4,41.3,1,Connecticut,1163,Connecticut,16.02,7.43,0.521,2002,23.5,9.38,0.53,-7.48,-1.9500000000000008,-0.009000000000000008,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,0.483,0.37,0.71,13.5,28.1,41.6,2,0.8600000000000003,-0.6000000000000005,-5.799999999999999,-0.57,-1.5999999999999996,-5.0,4.0,61.0,-0.019000000000000017,85.3,-7.3999999999999915,-0.0020000000000000018,0.015000000000000013,-0.019000000000000017,0.5,-0.7000000000000028,-0.30000000000000426,4,Connecticut,27.0,7.0,2002,19.36,UConn
