,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
201,13,15,1,0,4.71,6.91,12.0,0.78,5.4,17.0,636.0,1261.0,0.504,69.0,0.44299999999999995,0.311,0.653,11.6,24.9,36.4,2,-3.68,-5.39,68.4,99.8,0.49,19.77,5.68,66.4,120.7,0.58,-23.45,-11.07,2.0,-20.900000000000006,-0.08999999999999997,1
202,8,1,1,1,4.36,7.45,15.3,1.16,5.4,15.0,676.0,1302.0,0.519,72.3,0.47600000000000003,0.36200000000000004,0.7020000000000001,11.9,26.4,38.2,9,21.32,9.82,65.1,109.7,0.527,15.15,4.06,63.2,108.3,0.515,6.17,5.7600000000000025,1.899999999999992,1.4000000000000057,0.012000000000000007,2
203,8,9,0,0,3.03,7.03,13.8,1.23,7.1,20.0,549.0,1091.0,0.503,69.2,0.452,0.36200000000000004,0.716,10.3,22.5,32.8,1,15.15,4.06,63.2,108.3,0.515,21.32,9.82,65.1,109.7,0.527,-6.17,-5.7600000000000025,-1.899999999999992,-1.4000000000000057,-0.012000000000000007,2
204,1,5,0,0,3.27,6.94,16.4,1.23,7.6,20.0,576.0,1135.0,0.507,73.2,0.46299999999999997,0.385,0.7070000000000001,11.2,26.7,38.0,4,15.6,3.34,66.3,109.3,0.531,16.19,9.02,67.0,100.5,0.473,-0.5900000000000016,-5.68,-0.7000000000000028,8.799999999999997,0.05800000000000005,2
205,1,4,1,1,4.86,9.11,13.8,0.94,5.9,19.0,642.0,1334.0,0.48100000000000004,68.8,0.425,0.311,0.6859999999999999,13.1,25.1,38.2,5,16.19,9.02,67.0,100.5,0.473,15.6,3.34,66.3,109.3,0.531,0.5900000000000016,5.68,0.7000000000000028,-8.799999999999997,-0.05800000000000005,2
206,3,6,0,0,4.19,8.42,13.0,0.93,7.4,18.0,541.0,1051.0,0.515,74.2,0.47700000000000004,0.406,0.73,10.9,22.4,33.3,3,8.74,-2.6,66.1,109.8,0.537,16.92,7.5,70.7,106.6,0.501,-8.180000000000001,-10.1,-4.6000000000000085,3.200000000000003,0.03600000000000003,2
207,3,3,1,1,3.5,8.81,16.8,1.27,5.7,17.0,666.0,1307.0,0.51,75.9,0.45899999999999996,0.337,0.721,11.8,24.0,35.8,6,16.92,7.5,70.7,106.6,0.501,8.74,-2.6,66.1,109.8,0.537,8.180000000000001,10.1,4.6000000000000085,-3.200000000000003,-0.03600000000000003,2
208,8,7,1,1,3.27,6.48,15.0,1.38,9.9,25.0,544.0,1052.0,0.517,76.3,0.461,0.39,0.7120000000000001,11.5,23.7,35.2,15,18.25,7.33,65.1,115.4,0.5479999999999999,-3.68,-5.39,68.4,99.8,0.49,21.93,12.72,-3.300000000000012,15.600000000000007,0.05800000000000005,2
209,8,15,0,0,4.71,6.91,12.0,0.78,5.4,17.0,636.0,1261.0,0.504,69.0,0.44299999999999995,0.311,0.653,11.6,24.9,36.4,7,-3.68,-5.39,68.4,99.8,0.49,18.25,7.33,65.1,115.4,0.5479999999999999,-21.93,-12.72,3.300000000000012,-15.600000000000007,-0.05800000000000005,2
210,3,1,0,1,4.36,7.45,15.3,1.16,5.4,15.0,676.0,1302.0,0.519,72.3,0.47600000000000003,0.36200000000000004,0.7020000000000001,11.9,26.4,38.2,4,21.32,9.82,65.1,109.7,0.527,16.19,9.02,67.0,100.5,0.473,5.129999999999999,0.8000000000000007,-1.9000000000000057,9.200000000000003,0.05400000000000005,3
211,3,4,1,0,4.86,9.11,13.8,0.94,5.9,19.0,642.0,1334.0,0.48100000000000004,68.8,0.425,0.311,0.6859999999999999,13.1,25.1,38.2,1,16.19,9.02,67.0,100.5,0.473,21.32,9.82,65.1,109.7,0.527,-5.129999999999999,-0.8000000000000007,1.9000000000000057,-9.200000000000003,-0.05400000000000005,3
212,4,3,0,1,3.5,8.81,16.8,1.27,5.7,17.0,666.0,1307.0,0.51,75.9,0.45899999999999996,0.337,0.721,11.8,24.0,35.8,7,16.92,7.5,70.7,106.6,0.501,18.25,7.33,65.1,115.4,0.5479999999999999,-1.3299999999999983,0.16999999999999993,5.6000000000000085,-8.800000000000011,-0.047000000000000035,3
213,4,7,1,0,3.27,6.48,15.0,1.38,9.9,25.0,544.0,1052.0,0.517,76.3,0.461,0.39,0.7120000000000001,11.5,23.7,35.2,3,18.25,7.33,65.1,115.4,0.5479999999999999,16.92,7.5,70.7,106.6,0.501,1.3299999999999983,-0.16999999999999993,-5.6000000000000085,8.800000000000011,0.047000000000000035,3
214,3,4,1,1,4.86,9.11,13.8,0.94,5.9,19.0,642.0,1334.0,0.48100000000000004,68.8,0.425,0.311,0.6859999999999999,13.1,25.1,38.2,7,16.19,9.02,67.0,100.5,0.473,18.25,7.33,65.1,115.4,0.5479999999999999,-2.0599999999999987,1.6899999999999995,1.9000000000000057,-14.900000000000004,-0.07500000000000008,4
215,3,7,0,0,3.27,6.48,15.0,1.38,9.9,25.0,544.0,1052.0,0.517,76.3,0.461,0.39,0.7120000000000001,11.5,23.7,35.2,4,18.25,7.33,65.1,115.4,0.5479999999999999,16.19,9.02,67.0,100.5,0.473,2.0599999999999987,-1.6899999999999995,-1.9000000000000057,14.900000000000004,0.07500000000000008,4
216,15,1,1,1,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,12.7,22.6,35.3,16,21.12,8.02,65.2,113.3,0.521,3.06,-2.72,70.5,114.0,0.541,18.06,10.74,-5.299999999999997,-0.7000000000000028,-0.02000000000000001,1
217,15,16,0,0,2.67,8.48,16.6,1.24,6.5,18.0,685.0,1252.0,0.547,81.2,0.484,0.353,0.762,11.1,23.6,34.7,1,3.06,-2.72,70.5,114.0,0.541,21.12,8.02,65.2,113.3,0.521,-18.06,-10.74,5.299999999999997,0.7000000000000028,0.02000000000000001,1
218,1,8,1,1,4.81,6.16,14.5,1.0,5.7,17.0,593.0,1223.0,0.485,71.4,0.44299999999999995,0.342,0.6659999999999999,14.2,23.0,37.3,9,14.47,7.53,67.0,104.8,0.489,7.79,3.61,64.5,107.9,0.469,6.6800000000000015,3.92,2.5,-3.1000000000000085,0.02000000000000001,1
219,1,9,0,0,2.97,5.97,11.1,1.0,6.3,18.0,590.0,1337.0,0.441,71.6,0.41600000000000004,0.358,0.736,13.9,22.8,36.7,8,7.79,3.61,64.5,107.9,0.469,14.47,7.53,67.0,104.8,0.489,-6.6800000000000015,-3.92,-2.5,3.1000000000000085,-0.02000000000000001,1
220,7,5,1,1,4.06,5.97,13.0,0.98,8.7,22.0,530.0,1041.0,0.509,73.0,0.46,0.391,0.6990000000000001,10.4,24.0,34.4,12,15.71,8.04,65.5,109.7,0.541,7.84,-1.56,60.9,107.3,0.529,7.870000000000001,9.6,4.600000000000001,2.4000000000000057,0.012000000000000007,1
221,7,12,0,0,4.57,6.0,12.9,1.05,5.9,16.0,494.0,940.0,0.526,65.4,0.467,0.35600000000000004,0.746,8.5,24.1,32.6,5,7.84,-1.56,60.9,107.3,0.529,15.71,8.04,65.5,109.7,0.541,-7.870000000000001,-9.6,-4.600000000000001,-2.4000000000000057,-0.012000000000000007,1
222,9,4,1,1,3.48,5.21,11.7,1.3,7.6,21.0,479.0,1027.0,0.466,63.9,0.424,0.361,0.741,9.7,24.1,33.8,13,19.04,8.24,58.6,108.4,0.501,4.55,-3.39,66.1,105.4,0.52,14.489999999999998,11.63,-7.499999999999992,3.0,-0.019000000000000017,1
223,9,13,0,0,3.65,7.13,13.8,1.09,6.2,17.0,570.0,1124.0,0.507,70.6,0.465,0.373,0.718,9.1,23.9,33.0,4,4.55,-3.39,66.1,105.4,0.52,19.04,8.24,58.6,108.4,0.501,-14.489999999999998,-11.63,7.499999999999992,-3.0,0.019000000000000017,1
224,5,6,1,1,4.59,8.12,13.0,1.22,7.1,21.0,609.0,1320.0,0.461,68.5,0.42,0.34299999999999997,0.6409999999999999,13.5,22.7,36.2,11,12.93,6.28,64.1,104.9,0.48,14.0,8.12,66.7,108.1,0.485,-1.0700000000000005,-1.8399999999999992,-2.6000000000000085,-3.1999999999999886,-0.0050000000000000044,1
225,5,11,0,0,3.64,6.82,12.4,0.98,5.8,18.0,626.0,1289.0,0.486,73.1,0.436,0.327,0.731,13.4,22.8,36.2,6,14.0,8.12,66.7,108.1,0.485,12.93,6.28,64.1,104.9,0.48,1.0700000000000005,1.8399999999999992,2.6000000000000085,3.1999999999999886,0.0050000000000000044,1
226,11,3,1,1,5.94,7.72,11.9,0.73,6.0,17.0,609.0,1211.0,0.503,69.9,0.45399999999999996,0.34700000000000003,0.703,11.8,25.1,36.9,14,14.53,7.62,67.3,102.3,0.512,8.25,2.84,65.0,107.0,0.508,6.279999999999999,4.78,2.299999999999997,-4.700000000000003,0.0040000000000000036,1
227,11,14,0,0,4.07,5.77,13.8,0.97,5.4,16.0,565.0,1105.0,0.511,70.8,0.46,0.342,0.7559999999999999,11.3,24.2,35.5,3,8.25,2.84,65.0,107.0,0.508,14.53,7.62,67.3,102.3,0.512,-6.279999999999999,-4.78,-2.299999999999997,4.700000000000003,-0.0040000000000000036,1
228,3,7,1,1,3.29,6.81,13.7,1.03,6.4,17.0,575.0,1107.0,0.519,74.0,0.473,0.376,0.715,11.0,26.2,37.1,10,13.86,3.25,66.4,110.7,0.535,12.13,7.53,64.8,106.8,0.483,1.7299999999999986,-4.28,1.6000000000000083,3.9000000000000057,0.05200000000000005,1
229,3,10,0,0,2.56,6.5,14.6,1.13,5.3,18.0,651.0,1299.0,0.501,71.6,0.441,0.302,0.6709999999999999,15.0,23.4,38.4,7,12.13,7.53,64.8,106.8,0.483,13.86,3.25,66.4,110.7,0.535,-1.7299999999999986,4.28,-1.6000000000000083,-3.9000000000000057,-0.05200000000000005,1
230,13,2,1,1,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,11.7,25.1,36.8,15,23.95,9.07,66.9,111.6,0.521,0.37,-2.72,65.3,103.1,0.472,23.58,11.79,1.6000000000000083,8.5,0.04900000000000005,1
231,13,15,0,0,4.41,7.78,12.0,0.89,5.0,15.0,576.0,1251.0,0.46,67.6,0.428,0.34,0.718,13.3,22.1,35.3,2,0.37,-2.72,65.3,103.1,0.472,23.95,9.07,66.9,111.6,0.521,-23.58,-11.79,-1.6000000000000083,-8.5,-0.04900000000000005,1
232,7,1,1,1,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,12.7,22.6,35.3,8,21.12,8.02,65.2,113.3,0.521,14.47,7.53,67.0,104.8,0.489,6.65,0.4899999999999993,-1.7999999999999972,8.5,0.03200000000000003,2
233,7,8,0,0,4.81,6.16,14.5,1.0,5.7,17.0,593.0,1223.0,0.485,71.4,0.44299999999999995,0.342,0.6659999999999999,14.2,23.0,37.3,1,14.47,7.53,67.0,104.8,0.489,21.12,8.02,65.2,113.3,0.521,-6.65,-0.4899999999999993,1.7999999999999972,-8.5,-0.03200000000000003,2
234,1,5,0,0,4.06,5.97,13.0,0.98,8.7,22.0,530.0,1041.0,0.509,73.0,0.46,0.391,0.6990000000000001,10.4,24.0,34.4,4,15.71,8.04,65.5,109.7,0.541,19.04,8.24,58.6,108.4,0.501,-3.3299999999999983,-0.20000000000000107,6.899999999999999,1.2999999999999972,0.040000000000000036,2
235,1,4,1,1,3.48,5.21,11.7,1.3,7.6,21.0,479.0,1027.0,0.466,63.9,0.424,0.361,0.741,9.7,24.1,33.8,5,19.04,8.24,58.6,108.4,0.501,15.71,8.04,65.5,109.7,0.541,3.3299999999999983,0.20000000000000107,-6.899999999999999,-1.2999999999999972,-0.040000000000000036,2
236,3,6,1,0,4.59,8.12,13.0,1.22,7.1,21.0,609.0,1320.0,0.461,68.5,0.42,0.34299999999999997,0.6409999999999999,13.5,22.7,36.2,3,12.93,6.28,64.1,104.9,0.48,14.53,7.62,67.3,102.3,0.512,-1.5999999999999996,-1.34,-3.200000000000003,2.6000000000000085,-0.03200000000000003,2
237,3,3,0,1,5.94,7.72,11.9,0.73,6.0,17.0,609.0,1211.0,0.503,69.9,0.45399999999999996,0.34700000000000003,0.703,11.8,25.1,36.9,6,14.53,7.62,67.3,102.3,0.512,12.93,6.28,64.1,104.9,0.48,1.5999999999999996,1.34,3.200000000000003,-2.6000000000000085,0.03200000000000003,2
238,5,7,0,0,3.29,6.81,13.7,1.03,6.4,17.0,575.0,1107.0,0.519,74.0,0.473,0.376,0.715,11.0,26.2,37.1,2,13.86,3.25,66.4,110.7,0.535,23.95,9.07,66.9,111.6,0.521,-10.09,-5.82,-0.5,-0.8999999999999915,0.014000000000000012,2
239,5,2,1,1,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,11.7,25.1,36.8,7,23.95,9.07,66.9,111.6,0.521,13.86,3.25,66.4,110.7,0.535,10.09,5.82,0.5,0.8999999999999915,-0.014000000000000012,2
240,3,1,1,1,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,12.7,22.6,35.3,4,21.12,8.02,65.2,113.3,0.521,19.04,8.24,58.6,108.4,0.501,2.0800000000000023,-0.22000000000000064,6.600000000000001,4.899999999999992,0.02000000000000001,3
241,3,4,0,0,3.48,5.21,11.7,1.3,7.6,21.0,479.0,1027.0,0.466,63.9,0.424,0.361,0.741,9.7,24.1,33.8,1,19.04,8.24,58.6,108.4,0.501,21.12,8.02,65.2,113.3,0.521,-2.0800000000000023,0.22000000000000064,-6.600000000000001,-4.899999999999992,-0.02000000000000001,3
242,4,6,0,0,4.59,8.12,13.0,1.22,7.1,21.0,609.0,1320.0,0.461,68.5,0.42,0.34299999999999997,0.6409999999999999,13.5,22.7,36.2,2,12.93,6.28,64.1,104.9,0.48,23.95,9.07,66.9,111.6,0.521,-11.02,-2.79,-2.800000000000012,-6.699999999999987,-0.041000000000000036,3
243,4,2,1,1,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,11.7,25.1,36.8,6,23.95,9.07,66.9,111.6,0.521,12.93,6.28,64.1,104.9,0.48,11.02,2.79,2.800000000000012,6.699999999999987,0.041000000000000036,3
244,1,1,0,1,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,12.7,22.6,35.3,2,21.12,8.02,65.2,113.3,0.521,23.95,9.07,66.9,111.6,0.521,-2.8299999999999983,-1.0500000000000007,-1.7000000000000028,1.7000000000000028,0.0,4
245,1,2,1,0,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,11.7,25.1,36.8,1,23.95,9.07,66.9,111.6,0.521,21.12,8.02,65.2,113.3,0.521,2.8299999999999983,1.0500000000000007,1.7000000000000028,-1.7000000000000028,0.0,4
246,3,1,1,1,8.79,6.33,13.3,1.16,5.7,15.0,717.0,1363.0,0.526,77.1,0.48700000000000004,0.38,0.723,12.4,26.8,39.2,4,24.73,7.93,66.4,116.5,0.5379999999999999,16.19,9.02,67.0,100.5,0.473,8.54,-1.09,-0.5999999999999943,16.0,0.06500000000000006,5
247,3,4,0,0,4.86,9.11,13.8,0.94,5.9,19.0,642.0,1334.0,0.48100000000000004,68.8,0.425,0.311,0.6859999999999999,13.1,25.1,38.2,1,16.19,9.02,67.0,100.5,0.473,24.73,7.93,66.4,116.5,0.5379999999999999,-8.54,1.09,0.5999999999999943,-16.0,-0.06500000000000006,5
248,0,2,0,9999,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,11.7,25.1,36.8,2,23.95,9.07,66.9,111.6,0.521,21.72,9.93,67.3,108.8,0.523,2.2300000000000004,-0.8599999999999994,-0.3999999999999915,2.799999999999997,-0.0020000000000000018,5
249,0,2,1,9999,5.64,7.39,15.6,1.18,6.0,17.0,681.0,1259.0,0.541,75.0,0.485,0.358,0.696,11.1,25.8,36.9,2,21.72,9.93,67.3,108.8,0.523,23.95,9.07,66.9,111.6,0.521,-2.2300000000000004,0.8599999999999994,0.3999999999999915,-2.799999999999997,0.0020000000000000018,5
250,1,1,1,1,8.79,6.33,13.3,1.16,5.7,15.0,717.0,1363.0,0.526,77.1,0.48700000000000004,0.38,0.723,12.4,26.8,39.2,2,24.73,7.93,66.4,116.5,0.5379999999999999,21.72,9.93,67.3,108.8,0.523,3.0100000000000016,-2.0,-0.8999999999999915,7.700000000000002,0.015000000000000013,6
251,1,2,0,0,5.64,7.39,15.6,1.18,6.0,17.0,681.0,1259.0,0.541,75.0,0.485,0.358,0.696,11.1,25.8,36.9,1,21.72,9.93,67.3,108.8,0.523,24.73,7.93,66.4,116.5,0.5379999999999999,-3.0100000000000016,2.0,0.8999999999999915,-7.700000000000002,-0.015000000000000013,6
252,15,1,1,1,3.73,7.48,14.5,1.12,7.3,18.0,646.0,1238.0,0.522,80.0,0.486,0.41100000000000003,0.745,12.5,26.2,38.6,16,24.9,8.38,67.1,116.3,0.5479999999999999,-1.73,-2.28,64.1,100.9,0.476,26.63,10.66,3.0,15.399999999999993,0.07200000000000006,1
253,15,16,0,0,4.5,7.88,11.7,1.05,5.7,17.0,571.0,1238.0,0.461,65.2,0.42,0.33299999999999996,0.701,10.0,22.7,32.7,1,-1.73,-2.28,64.1,100.9,0.476,24.9,8.38,67.1,116.3,0.5479999999999999,-26.63,-10.66,-3.0,-15.399999999999993,-0.07200000000000006,1
254,1,8,0,1,4.26,6.59,14.6,1.18,5.3,13.0,776.0,1477.0,0.525,77.5,0.494,0.39299999999999996,0.6829999999999999,11.4,25.4,36.8,9,14.32,7.17,68.6,112.4,0.542,9.52,5.2,67.6,106.8,0.49,4.800000000000002,1.97,1.0,5.6000000000000085,0.05200000000000005,1
255,1,9,1,0,3.69,8.03,14.9,1.36,7.3,22.0,573.0,1176.0,0.48700000000000004,72.8,0.43,0.33399999999999996,0.725,11.3,23.1,34.5,8,9.52,5.2,67.6,106.8,0.49,14.32,7.17,68.6,112.4,0.542,-4.800000000000002,-1.97,-1.0,-5.6000000000000085,-0.05200000000000005,1
256,7,5,0,1,5.79,7.35,16.2,1.16,6.5,20.0,632.0,1274.0,0.496,71.7,0.439,0.33,0.705,11.9,28.2,40.1,12,12.92,5.71,68.9,103.2,0.4920000000000001,10.65,7.77,66.5,100.7,0.48,2.27,-2.06,2.4000000000000057,2.5,0.012000000000000007,1
257,7,12,1,0,4.74,5.77,14.1,1.12,4.0,13.0,660.0,1349.0,0.489,67.5,0.446,0.304,0.725,11.0,26.2,37.2,5,10.65,7.77,66.5,100.7,0.48,12.92,5.71,68.9,103.2,0.4920000000000001,-2.27,2.06,-2.4000000000000057,-2.5,-0.012000000000000007,1
258,9,4,1,1,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,14.5,24.2,38.7,13,20.3,8.57,65.2,107.3,0.49,-1.11,-4.21,63.8,107.5,0.532,21.41,12.78,1.4000000000000057,-0.20000000000000284,-0.04200000000000004,1
259,9,13,0,0,3.03,5.87,12.9,1.07,6.9,18.0,534.0,1023.0,0.522,71.1,0.474,0.385,0.768,7.6,23.5,31.2,4,-1.11,-4.21,63.8,107.5,0.532,20.3,8.57,65.2,107.3,0.49,-21.41,-12.78,-1.4000000000000057,0.20000000000000284,0.04200000000000004,1
260,5,6,1,1,2.44,5.68,13.1,0.98,6.6,19.0,600.0,1173.0,0.512,69.3,0.45299999999999996,0.348,0.6890000000000001,11.7,25.0,36.6,11,10.99,6.08,64.9,106.4,0.512,6.95,-1.96,62.6,107.0,0.496,4.04,8.04,2.3000000000000043,-0.5999999999999943,0.016000000000000014,1
261,5,11,0,0,4.09,3.58,13.4,1.42,4.6,13.0,643.0,1323.0,0.486,67.3,0.456,0.36,0.7440000000000001,9.1,27.1,36.2,6,6.95,-1.96,62.6,107.0,0.496,10.99,6.08,64.9,106.4,0.512,-4.04,-8.04,-2.3000000000000043,0.5999999999999943,-0.016000000000000014,1
262,11,3,1,1,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,11.5,23.5,35.0,14,14.04,8.58,63.4,105.9,0.496,7.27,-3.45,64.8,112.7,0.532,6.77,12.03,-1.3999999999999986,-6.799999999999998,-0.03600000000000003,1
263,11,14,0,0,2.94,5.67,14.0,1.28,7.6,21.0,568.0,1090.0,0.521,73.7,0.46299999999999997,0.369,0.8009999999999999,9.1,24.8,33.8,3,7.27,-3.45,64.8,112.7,0.532,14.04,8.58,63.4,105.9,0.496,-6.77,-12.03,1.3999999999999986,6.799999999999998,0.03600000000000003,1
264,3,7,1,1,3.97,6.91,10.2,0.89,7.8,24.0,554.0,1156.0,0.479,69.1,0.41600000000000004,0.325,0.725,11.8,21.8,33.5,10,13.23,10.08,65.5,104.2,0.479,11.95,7.95,65.7,101.4,0.483,1.2800000000000011,2.13,-0.20000000000000284,2.799999999999997,-0.0040000000000000036,1
265,3,10,0,0,3.13,7.03,10.0,0.76,5.4,16.0,585.0,1239.0,0.47200000000000003,68.2,0.436,0.34700000000000003,0.684,11.6,25.6,37.2,7,11.95,7.95,65.7,101.4,0.483,13.23,10.08,65.5,104.2,0.479,-1.2800000000000011,-2.13,0.20000000000000284,-2.799999999999997,0.0040000000000000036,1
266,13,2,1,1,4.59,6.34,11.2,1.02,6.7,19.0,584.0,1133.0,0.515,69.4,0.45799999999999996,0.35100000000000003,0.675,10.0,25.8,35.8,15,16.99,7.88,64.0,108.5,0.519,1.96,1.05,63.3,105.4,0.509,15.029999999999998,6.83,0.7000000000000028,3.0999999999999943,0.010000000000000007,1
267,13,15,0,0,1.32,5.65,14.7,1.33,6.4,17.0,590.0,1221.0,0.483,67.5,0.452,0.38299999999999995,0.6940000000000001,9.5,22.8,32.3,2,1.96,1.05,63.3,105.4,0.509,16.99,7.88,64.0,108.5,0.519,-15.029999999999998,-6.83,-0.7000000000000028,-3.0999999999999943,-0.010000000000000007,1
268,8,1,1,1,3.73,7.48,14.5,1.12,7.3,18.0,646.0,1238.0,0.522,80.0,0.486,0.41100000000000003,0.745,12.5,26.2,38.6,9,24.9,8.38,67.1,116.3,0.5479999999999999,9.52,5.2,67.6,106.8,0.49,15.38,3.1800000000000006,-0.5,9.5,0.05800000000000005,2
269,8,9,0,0,3.69,8.03,14.9,1.36,7.3,22.0,573.0,1176.0,0.48700000000000004,72.8,0.43,0.33399999999999996,0.725,11.3,23.1,34.5,1,9.52,5.2,67.6,106.8,0.49,24.9,8.38,67.1,116.3,0.5479999999999999,-15.38,-3.1800000000000006,0.5,-9.5,-0.05800000000000005,2
270,8,12,0,0,4.74,5.77,14.1,1.12,4.0,13.0,660.0,1349.0,0.489,67.5,0.446,0.304,0.725,11.0,26.2,37.2,4,10.65,7.77,66.5,100.7,0.48,20.3,8.57,65.2,107.3,0.49,-9.65,-0.8000000000000007,1.2999999999999972,-6.599999999999994,-0.010000000000000007,2
271,8,4,1,1,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,14.5,24.2,38.7,12,20.3,8.57,65.2,107.3,0.49,10.65,7.77,66.5,100.7,0.48,9.65,0.8000000000000007,-1.2999999999999972,6.599999999999994,0.010000000000000007,2
272,3,6,0,0,2.44,5.68,13.1,0.98,6.6,19.0,600.0,1173.0,0.512,69.3,0.45299999999999996,0.348,0.6890000000000001,11.7,25.0,36.6,3,10.99,6.08,64.9,106.4,0.512,14.04,8.58,63.4,105.9,0.496,-3.049999999999999,-2.5,1.5000000000000069,0.5,0.016000000000000014,2
273,3,3,1,1,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,11.5,23.5,35.0,6,14.04,8.58,63.4,105.9,0.496,10.99,6.08,64.9,106.4,0.512,3.049999999999999,2.5,-1.5000000000000069,-0.5,-0.016000000000000014,2
274,5,7,0,0,3.97,6.91,10.2,0.89,7.8,24.0,554.0,1156.0,0.479,69.1,0.41600000000000004,0.325,0.725,11.8,21.8,33.5,2,13.23,10.08,65.5,104.2,0.479,16.99,7.88,64.0,108.5,0.519,-3.759999999999998,2.2,1.5,-4.299999999999997,-0.040000000000000036,2
275,5,2,1,1,4.59,6.34,11.2,1.02,6.7,19.0,584.0,1133.0,0.515,69.4,0.45799999999999996,0.35100000000000003,0.675,10.0,25.8,35.8,7,16.99,7.88,64.0,108.5,0.519,13.23,10.08,65.5,104.2,0.479,3.759999999999998,-2.2,-1.5,4.299999999999997,0.040000000000000036,2
276,3,1,0,1,3.73,7.48,14.5,1.12,7.3,18.0,646.0,1238.0,0.522,80.0,0.486,0.41100000000000003,0.745,12.5,26.2,38.6,4,24.9,8.38,67.1,116.3,0.5479999999999999,20.3,8.57,65.2,107.3,0.49,4.599999999999998,-0.1899999999999995,1.899999999999992,9.0,0.05800000000000005,3
277,3,4,1,0,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,14.5,24.2,38.7,1,20.3,8.57,65.2,107.3,0.49,24.9,8.38,67.1,116.3,0.5479999999999999,-4.599999999999998,0.1899999999999995,-1.899999999999992,-9.0,-0.05800000000000005,3
278,1,3,1,0,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,11.5,23.5,35.0,2,14.04,8.58,63.4,105.9,0.496,16.99,7.88,64.0,108.5,0.519,-2.95,0.7000000000000002,-0.6000000000000014,-2.5999999999999943,-0.02300000000000002,3
279,1,2,0,1,4.59,6.34,11.2,1.02,6.7,19.0,584.0,1133.0,0.515,69.4,0.45799999999999996,0.35100000000000003,0.675,10.0,25.8,35.8,3,16.99,7.88,64.0,108.5,0.519,14.04,8.58,63.4,105.9,0.496,2.95,-0.7000000000000002,0.6000000000000014,2.5999999999999943,0.02300000000000002,3
280,1,4,1,0,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,14.5,24.2,38.7,3,20.3,8.57,65.2,107.3,0.49,14.04,8.58,63.4,105.9,0.496,6.2600000000000025,-0.009999999999999787,1.8000000000000045,1.3999999999999917,-0.0060000000000000045,4
281,1,3,0,1,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,11.5,23.5,35.0,4,14.04,8.58,63.4,105.9,0.496,20.3,8.57,65.2,107.3,0.49,-6.2600000000000025,0.009999999999999787,-1.8000000000000045,-1.3999999999999917,0.0060000000000000045,4
282,15,1,1,1,4.24,10.74,15.0,1.18,5.8,18.0,681.0,1375.0,0.495,73.6,0.445,0.331,0.711,13.6,23.9,37.5,16,24.81,9.13,66.4,110.3,0.506,-6.94,-6.3,67.1,92.3,0.458,31.75,15.43,-0.6999999999999886,18.0,0.04799999999999999,1
283,15,16,0,0,4.6,7.06,11.1,0.73,5.7,19.0,531.0,1161.0,0.457,62.2,0.39899999999999997,0.299,0.6579999999999999,10.7,24.7,35.4,1,-6.94,-6.3,67.1,92.3,0.458,24.81,9.13,66.4,110.3,0.506,-31.75,-15.43,0.6999999999999886,-18.0,-0.04799999999999999,1
