,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
927,13,15,0,0,3.06,6.79,15.9,1.37,9.7,25.0,612.0,1195.0,0.512,79.8,0.462,0.38799999999999996,0.7390000000000001,8.5,25.3,33.8,2,0.76,-2.19,71.5,109.2,0.539,24.44,9.71,70.6,118.6,0.5589999999999999,-23.68,-11.9,0.9000000000000057,-9.399999999999991,-0.02000000000000001,1
928,7,1,1,1,4.18,6.62,17.0,1.46,10.1,25.0,679.0,1201.0,0.565,81.5,0.498,0.40299999999999997,0.7,9.6,25.6,35.2,8,21.39,11.87,70.2,115.5,0.575,15.67,10.11,71.1,111.0,0.529,5.7200000000000015,1.7599999999999998,-0.8999999999999915,4.5,0.04599999999999993,2
929,7,8,0,0,3.5,6.28,15.8,1.23,7.3,20.0,681.0,1311.0,0.519,79.0,0.46799999999999997,0.364,0.693,12.2,26.0,38.2,1,15.67,10.11,71.1,111.0,0.529,21.39,11.87,70.2,115.5,0.575,-5.7200000000000015,-1.7599999999999998,0.8999999999999915,-4.5,-0.04599999999999993,2
930,1,5,1,0,4.84,5.69,13.2,1.09,8.3,23.0,543.0,1060.0,0.512,73.3,0.45299999999999996,0.366,0.757,9.0,26.5,35.5,4,17.17,9.25,67.5,108.5,0.529,15.97,7.29,73.4,111.5,0.508,1.200000000000001,1.96,-5.900000000000006,-3.0,0.02100000000000002,2
931,1,4,0,1,5.41,7.44,14.4,1.18,9.8,27.0,556.0,1125.0,0.494,83.4,0.439,0.366,0.7859999999999999,12.1,26.0,38.2,5,15.97,7.29,73.4,111.5,0.508,17.17,9.25,67.5,108.5,0.529,-1.200000000000001,-1.96,5.900000000000006,3.0,-0.02100000000000002,2
932,8,11,1,0,5.58,7.24,11.0,0.87,5.8,18.0,558.0,1196.0,0.467,67.5,0.418,0.322,0.741,12.1,25.3,37.4,3,12.89,10.02,64.2,102.4,0.469,22.41,7.1,68.1,117.3,0.569,-9.52,2.92,-3.8999999999999915,-14.899999999999993,-0.09999999999999998,2
933,8,3,0,1,7.36,4.09,19.3,1.47,8.4,20.0,666.0,1201.0,0.555,81.0,0.504,0.413,0.7509999999999999,11.1,29.8,40.8,11,22.41,7.1,68.1,117.3,0.569,12.89,10.02,64.2,102.4,0.469,9.52,-2.92,3.8999999999999915,14.899999999999993,0.09999999999999998,2
934,5,7,0,0,3.45,7.65,15.4,1.45,6.8,19.0,669.0,1304.0,0.513,76.8,0.462,0.35,0.7120000000000001,11.3,23.0,34.3,2,11.81,4.61,69.2,109.0,0.511,24.44,9.71,70.6,118.6,0.5589999999999999,-12.63,-5.1000000000000005,-1.3999999999999917,-9.599999999999994,-0.048000000000000036,2
935,5,2,1,1,5.36,7.52,17.5,1.39,8.3,22.0,734.0,1319.0,0.556,84.7,0.493,0.37799999999999995,0.708,13.5,28.3,41.9,7,24.44,9.71,70.6,118.6,0.5589999999999999,11.81,4.61,69.2,109.0,0.511,12.63,5.1000000000000005,1.3999999999999917,9.599999999999994,0.048000000000000036,2
936,4,1,1,1,4.18,6.62,17.0,1.46,10.1,25.0,679.0,1201.0,0.565,81.5,0.498,0.40299999999999997,0.7,9.6,25.6,35.2,5,21.39,11.87,70.2,115.5,0.575,17.17,9.25,67.5,108.5,0.529,4.219999999999999,2.619999999999999,2.700000000000003,7.0,0.04599999999999993,3
937,4,5,0,0,4.84,5.69,13.2,1.09,8.3,23.0,543.0,1060.0,0.512,73.3,0.45299999999999996,0.366,0.757,9.0,26.5,35.5,1,17.17,9.25,67.5,108.5,0.529,21.39,11.87,70.2,115.5,0.575,-4.219999999999999,-2.619999999999999,-2.700000000000003,-7.0,-0.04599999999999993,3
938,9,11,0,0,5.58,7.24,11.0,0.87,5.8,18.0,558.0,1196.0,0.467,67.5,0.418,0.322,0.741,12.1,25.3,37.4,2,12.89,10.02,64.2,102.4,0.469,24.44,9.71,70.6,118.6,0.5589999999999999,-11.55,0.3099999999999987,-6.3999999999999915,-16.199999999999992,-0.09000000000000008,3
939,9,2,1,1,5.36,7.52,17.5,1.39,8.3,22.0,734.0,1319.0,0.556,84.7,0.493,0.37799999999999995,0.708,13.5,28.3,41.9,11,24.44,9.71,70.6,118.6,0.5589999999999999,12.89,10.02,64.2,102.4,0.469,11.55,-0.3099999999999987,6.3999999999999915,16.199999999999992,0.09000000000000008,3
