,Unnamed: 0,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted
27,1035,2,4,1,Cincinnati,2,1,1,27,1993,Cincinnati,4.85,6.67,15.1,1.03,6.6,21.0,519.0,1000.0,0.519,73.5,0.446,0.317,0.6759999999999999,1993,11.1,27.2,38.3,6,Cincinnati,27,Cincinnati,22.62,6.62,0.512,1993,14.6,9.76,0.477,8.020000000000001,-3.1399999999999997,0.03500000000000003
28,1036,1,1,1,UNC,1,1,1,28,1993,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.46399999999999997,70.6,0.413,0.29100000000000004,0.6629999999999999,1993,13.9,28.7,42.6,2,North Carolina,28,North Carolina,29.04,11.25,0.541,1993,22.62,6.62,0.512,6.419999999999998,4.63,0.029000000000000026
29,1037,1,1,1,Cincinnati,2,0,0,29,1993,Cincinnati,4.85,6.67,15.1,1.03,6.6,21.0,519.0,1000.0,0.519,73.5,0.446,0.317,0.6759999999999999,1993,11.1,27.2,38.3,1,Cincinnati,29,Cincinnati,22.62,6.62,0.512,1993,29.04,11.25,0.541,-6.419999999999998,-4.63,-0.029000000000000026
30,1038,1,15,1,Indiana,1,1,1,30,1993,Indiana,4.33,5.59,13.0,0.99,5.4,17.0,543.0,1076.0,0.505,72.4,0.451,0.324,0.6829999999999999,1993,11.3,26.3,37.6,16,Indiana,30,Indiana,25.84,11.09,0.57,1993,3.1,-5.97,0.556,22.74,17.06,0.013999999999999901
31,1039,1,15,1,Wright State,16,0,0,31,1993,Wright State,3.69,6.55,14.5,1.16,8.0,21.0,623.0,1216.0,0.512,82.4,0.465,0.37200000000000005,0.688,1993,12.2,27.9,40.0,1,Wright State,31,Wright State,3.1,-5.97,0.556,1993,25.84,11.09,0.57,-22.74,-17.06,-0.013999999999999901
32,1040,9,1,2,New Orleans,8,0,1,32,1993,New Orleans,2.0,7.85,14.7,1.04,5.4,16.0,553.0,1096.0,0.505,75.7,0.462,0.34600000000000003,0.759,1993,9.5,21.7,31.2,9,New Orleans,32,New Orleans,12.0,0.55,0.505,1993,10.89,2.75,0.542,1.1099999999999994,-2.2,-0.03700000000000003
33,1041,9,1,2,Xavier,9,1,0,33,1993,Xavier,3.63,5.74,14.4,1.05,6.3,21.0,531.0,1068.0,0.49700000000000005,70.6,0.431,0.305,0.655,1993,12.0,27.9,39.9,8,Xavier,33,Xavier,10.89,2.75,0.542,1993,12.0,0.55,0.505,-1.1099999999999994,2.2,0.03700000000000003
34,1042,5,7,1,Oklahoma State,5,1,1,34,1993,Oklahoma State,3.93,6.86,11.5,0.89,5.9,19.0,486.0,1045.0,0.465,66.7,0.41100000000000003,0.307,0.7340000000000001,1993,10.6,25.8,36.4,12,Oklahoma State,34,Oklahoma State,14.62,9.9,0.555,1993,15.68,2.29,0.524,-1.0600000000000005,7.61,0.031000000000000028
35,1043,5,7,1,Marquette,12,0,0,35,1993,Marquette,4.42,5.19,13.3,0.98,9.9,26.0,388.0,835.0,0.465,77.2,0.426,0.37799999999999995,0.738,1993,10.3,29.2,39.5,5,Marquette,35,Marquette,15.68,2.29,0.524,1993,14.62,9.9,0.555,1.0600000000000005,-7.61,-0.031000000000000028
36,1044,4,9,1,Louisville,4,1,1,36,1993,Louisville,2.76,5.07,14.0,1.16,8.3,22.0,525.0,1045.0,0.502,75.0,0.456,0.379,0.732,1993,11.0,27.9,38.8,13,Louisville,36,Louisville,14.65,8.85,0.549,1993,-0.63,-5.63,0.471,15.280000000000001,14.48,0.07800000000000007
